Date,EUR to USD Rate,TUR to USD Rate
23/11/2013,1.355001,0.497879
24/11/2013,1.355702,0.498554
25/11/2013,1.355702,0.498554
26/11/2013,1.349905,0.49895
27/11/2013,1.355605,0.496571
28/11/2013,1.356625,0.494778
29/11/2013,1.3601,0.496464
30/11/2013,1.359846,0.494419
1/12/2013,1.359296,0.495099
2/12/2013,1.359296,0.495099
3/12/2013,1.355004,0.490135
4/12/2013,1.360452,0.488723
5/12/2013,1.35604,0.486695
6/12/2013,1.36698,0.491463
7/12/2013,1.369535,0.493936
8/12/2013,1.370398,0.493778
9/12/2013,1.370398,0.493778
10/12/2013,1.372203,0.492283
11/12/2013,1.377003,0.493437
12/12/2013,1.379501,0.490509
13/12/2013,1.37523,0.488696
14/12/2013,1.373105,0.490064
15/12/2013,1.374202,0.490076
16/12/2013,1.374202,0.490076
17/12/2013,1.37595,0.493505
18/12/2013,1.37514,0.490853
19/12/2013,1.37616,0.487841
20/12/2013,1.366725,0.481682
21/12/2013,1.367264,0.479363
22/12/2013,1.367194,0.478034
23/12/2013,1.367194,0.478034
24/12/2013,1.3704,0.477043
25/12/2013,1.3678,0.481022
26/12/2013,1.367895,0.481474
27/12/2013,1.3689,0.470011
28/12/2013,1.376505,0.464794
29/12/2013,1.374202,0.464835
30/12/2013,1.374202,0.464835
31/12/2013,1.381502,0.471558
1/1/2014,1.37757,0.465618
2/1/2014,1.374297,0.465358
3/1/2014,1.36738,0.460676
4/1/2014,1.360485,0.458749
5/1/2014,1.358797,0.459031
6/1/2014,1.358797,0.459031
7/1/2014,1.363596,0.458989
8/1/2014,1.361406,0.461505
9/1/2014,1.358705,0.45834
10/1/2014,1.359102,0.457883
11/1/2014,1.366025,0.461753
12/1/2014,1.367101,0.461894
13/01/2014,1.367101,0.461894
14/01/2014,1.364396,0.458353
15/01/2014,1.36775,0.45753
16/01/2014,1.36044,0.457203
17/01/2014,1.36015,0.45262
18/01/2014,1.35556,0.449087
19/01/2014,1.354105,0.448069
20/01/2014,1.354105,0.448069
21/01/2014,1.356274,0.44615
22/01/2014,1.356459,0.443356
23/01/2014,1.3555,0.44237
24/01/2014,1.36775,0.436408
25/01/2014,1.367512,0.429526
26/01/2014,1.367606,0.428908
27/01/2014,1.367606,0.428908
28/01/2014,1.367587,0.436033
29/01/2014,1.365835,0.441711
30/01/2014,1.3662,0.446728
31/01/2014,1.35459,0.44524
1/2/2014,1.350265,0.441422
2/2/2014,1.348809,0.442341
3/2/2014,1.348809,0.442341
